J1,J2,J3,J4,J5,J6,empty
8802676.000,13.905,-20.783,107.467,-76.850,14.288,76.446,
8802678.000,13.905,-20.783,107.467,-76.850,14.288,76.446,
8802680.000,13.905,-20.783,107.467,-76.850,14.288,76.446,
8802682.000,13.905,-20.783,107.467,-76.850,14.288,76.446,
8802684.000,13.905,-20.783,107.467,-76.850,14.288,76.446,
8802689.000,11.210,-21.404,107.889,-72.810,11.741,72.465,
8802691.000,11.210,-21.404,107.889,-72.810,11.741,72.465,
8802693.000,11.210,-21.404,107.889,-72.810,11.741,72.465,
8802695.000,11.210,-21.404,107.889,-72.810,11.741,72.465,
8802697.000,11.210,-21.404,107.889,-72.810,11.741,72.465,
8802699.000,11.210,-21.404,107.889,-72.810,11.741,72.465,
8802701.000,8.623,-21.898,108.221,-67.075,9.369,66.797,
8802718.000,5.988,-22.302,108.489,-57.632,7.095,57.432,
8802719.000,5.988,-22.302,108.489,-57.632,7.095,57.432,
8802720.000,5.988,-22.302,108.489,-57.632,7.095,57.432,
8802721.000,5.988,-22.302,108.489,-57.632,7.095,57.432,
8802722.000,5.988,-22.302,108.489,-57.632,7.095,57.432,
8802723.000,5.988,-22.302,108.489,-57.632,7.095,57.432,
8802733.000,3.317,-22.612,108.694,-40.310,5.132,40.197,
8802735.000,3.317,-22.612,108.694,-40.310,5.132,40.197,
