X,Y,Z,rX,rY,rZ,empty
8802722.000,430.000,50.899,400.000,0.000,89.999,89.999,
8802723.000,430.000,50.899,400.000,0.000,89.999,89.999,
8802724.000,430.000,50.899,400.000,0.000,89.999,89.999,
8802735.000,430.000,37.047,400.000,0.000,90.000,90.000,
8802737.000,430.000,37.047,400.000,0.000,90.000,90.000,
8802739.000,430.000,37.047,400.000,0.000,90.000,90.000,
8802742.000,430.000,37.047,400.000,0.000,90.000,90.000,
8802744.000,430.000,37.047,400.000,0.000,90.000,90.000,
8802749.000,430.000,22.261,400.000,0.000,90.000,90.000,
8802751.000,430.000,22.261,400.000,0.000,90.000,90.000,
8802753.000,430.000,22.261,400.000,0.000,90.000,90.000,
8802756.000,430.000,22.261,400.000,0.000,90.000,90.000,
8802758.000,430.000,22.261,400.000,0.000,90.000,90.000,
8802760.000,430.000,22.261,400.000,0.000,90.000,90.000,
8802766.000,430.000,7.467,400.000,0.000,90.000,90.000,
8802769.000,430.000,7.467,400.000,0.000,90.000,90.000,
8802771.000,430.000,7.467,400.000,0.000,90.000,90.000,
8802773.000,430.000,7.467,400.000,0.000,90.000,90.000,
8802775.000,430.000,7.467,400.000,0.000,90.000,90.000,
8802781.000,430.000,-7.330,400.000,0.000,90.000,90.000,
8802784.000,430.000,-7.330,400.000,0.000,90.000,90.000,
8802786.000,430.000,-7.330,400.000,0.000,90.000,90.000,
8802788.000,430.000,-7.330,400.000,0.000,90.000,90.000,
8802790.000,430.000,-7.330,400.000,0.000,90.000,90.000,
8802793.000,430.000,-7.330,400.000,0.000,90.000,90.000,
8802798.000,430.000,-22.124,400.000,0.000,90.000,90.000,
8802801.000,430.000,-22.124,400.000,0.000,90.000,90.000,
8802803.000,430.000,-22.124,400.000,0.000,90.000,90.000,
8802805.000,430.000,-22.124,400.000,0.000,90.000,90.000,
8802807.000,430.000,-22.124,400.000,0.000,90.000,90.000,
8802814.000,430.000,-36.910,400.000,0.000,89.999,89.999,
8802816.000,430.000,-36.910,400.000,0.000,89.999,89.999,
8802818.000,430.000,-36.910,400.000,0.000,89.999,89.999,
8802820.000,430.000,-36.910,400.000,0.000,89.999,89.999,
8802822.000,430.000,-36.910,400.000,0.000,89.999,89.999,
8802824.000,430.000,-36.910,400.000,0.000,89.999,89.999,
8802830.000,430.000,-51.685,400.000,0.000,89.999,89.999,
8802832.000,430.000,-51.685,400.000,0.000,89.999,89.999,
8802834.000,430.000,-51.685,400.000,0.000,89.999,89.999,
8802836.000,430.000,-51.685,400.000,0.000,89.999,89.999,
8802838.000,430.000,-51.685,400.000,0.000,89.999,89.999,
8802840.000,430.000,-51.685,400.000,0.000,89.999,89.999,
8802845.000,430.000,-65.523,400.000,0.000,89.999,89.999,
8802846.000,430.000,-65.523,400.000,0.000,89.999,89.999,
8802847.000,430.000,-65.523,400.000,0.000,89.999,89.999,
8802848.000,430.000,-65.523,400.000,0.000,89.999,89.999,
8802849.000,430.000,-65.523,400.000,0.000,89.999,89.999,
8802850.000,430.000,-65.523,400.000,0.000,89.999,89.999,
8802860.000,430.000,-79.341,400.000,0.000,90.000,90.000,
8802862.000,430.000,-79.341,400.000,0.000,90.000,90.000,
8802864.000,430.000,-79.341,400.000,0.000,90.000,90.000,
8802867.000,430.000,-79.341,400.000,0.000,90.000,90.000,
8802869.000,430.000,-79.341,400.000,0.000,90.000,90.000,
8802874.000,430.000,-93.133,400.000,0.000,90.000,90.000,
8802876.000,430.000,-93.133,400.000,0.000,90.000,90.000,
